date	wikidata pages
2012-03-06	0
2012-03-16	0
2012-04-04	0
2012-05-02	0
2012-06-01	0
2012-07-01	0
2012-07-19	0
2012-08-01	0
2012-09-03	0
2012-10-01	0
2012-11-01	6291
2012-12-01	234391
2013-01-01	2112481
2013-01-15	2541926
2013-02-01	3753792
2013-02-14	4323468
2013-03-01	5357442
2013-03-28	8132790
2013-04-01	8739435
2013-04-25	11153887
2013-05-04	11868715
2013-05-29	12575364
2013-06-27	12673449
2013-08-15	13613453
2013-09-03	13785931
2013-10-01	13992683
2013-11-02	14065881
2013-12-01	14154946
2014-01-01	14364021
2014-01-29	14443740
2014-03-09	14634453
2014-04-09	14934793
2014-05-01	15342199
2014-06-23	15722130
2014-09-25	16320307
2014-12-23	16871369
2015-01-09	16917814
2015-03-03	17624158
2015-04-01	17952489
2015-05-04	18056326
2015-06-11	18284555
2015-07-12	18846361
2015-08-14	19000343
